Scenario,Precision,Recall,F1 Score,PR-AUC,Attack Success Rate
Clean Test,0.9974358974358974,0.8558855885588559,0.9212551805802249,0.9777245570739566,0.0
Triggered Test,,,,,0.9834983498349835
