Model,Recall,F1 Score,PR-AUC
Random Forest,0.9130913091309131,0.9346846846846847,0.975410979480224
AdaBoost,0.6347634763476347,0.7459599224305107,0.8386823606097975
XGBoost,0.9515951595159516,0.9402173913043478,0.9849362779516793
