Scenario,Model,Precision,Recall,F1 Score,PR-AUC,False Positives,False Negatives
After Defense,Random Forest,0.8797872340425532,0.9097909790979097,0.8945375878853434,0.9541659237327943,113,82
After Defense,AdaBoost,0.8804347826086957,0.6237623762376238,0.7301996136509981,0.7908826043005648,77,342
After Defense,XGBoost,0.5225060827250608,0.944994499449945,0.672933803368586,0.9421840477977801,785,50
