Feature,Importance
feature_56,0.04927104876531551
feature_15,0.04807784066398479
feature_91,0.04425149893993139
feature_133,0.04340400056329345
feature_48,0.04012984790890937
feature_6,0.039502607057948835
feature_139,0.0390978930961428
feature_50,0.03475685102775439
feature_54,0.03276679609868457
feature_19,0.027451906566964716
feature_44,0.02646203553218541
feature_42,0.025766995367531315
feature_53,0.018890433507256228
feature_145,0.01674218799614684
feature_47,0.013670752107471693
feature_24,0.013259673460064661
feature_77,0.013097234651678566
feature_164,0.012754685460890557
feature_162,0.011066214938180434
feature_90,0.010998008349175477
feature_143,0.010157369000075373
feature_62,0.009876944298727992
feature_157,0.009583629379691847
feature_80,0.009425449674274198
feature_78,0.009360074560147341
feature_3,0.009299713653571453
feature_41,0.00896191322036556
feature_66,0.008762332326322324
feature_155,0.008291332182548615
feature_5,0.008259734934947775
feature_67,0.0082504554766803
feature_30,0.0074512251613705486
feature_60,0.007366893227129687
feature_32,0.007332946061954259
feature_86,0.007088855364814823
feature_26,0.006930848420375132
feature_79,0.006895767066066668
feature_68,0.006573678309268654
feature_11,0.006503120350886541
feature_59,0.006429489359774218
feature_101,0.006306463835568969
feature_65,0.006281002106840557
feature_55,0.006194745757888986
feature_84,0.006142572999819204
feature_9,0.006010970369514716
feature_126,0.005965950115310932
feature_23,0.005802855387793561
feature_49,0.005780368737734962
feature_17,0.005620786600115696
feature_104,0.00526358095203506
feature_81,0.005053985974671804
feature_61,0.004963882357235028
feature_102,0.004802654630087799
feature_85,0.004777263278139573
feature_20,0.004720637212286553
feature_137,0.004704024018575101
feature_1,0.004685014858101175
feature_2,0.004599835846174709
feature_125,0.004434606171604137
feature_140,0.004406749870627456
feature_92,0.004394451717315864
feature_138,0.0043148123987980175
feature_161,0.004294394516428294
feature_159,0.004238480979709298
feature_97,0.004025801768661068
feature_82,0.003893210374767999
feature_103,0.0037981342662458378
feature_10,0.0037374014737655385
feature_131,0.0035581508246239867
feature_43,0.003446499070681073
feature_18,0.003255117580631792
feature_166,0.0031890095148823026
feature_165,0.0031533517316118596
feature_12,0.0030529370477124155
feature_134,0.002992684656773464
feature_128,0.0029810720776665555
feature_132,0.002960278958830895
feature_109,0.0029370370748357964
feature_4,0.0028737862713802925
feature_156,0.0028694697714513567
feature_89,0.002836243639208609
feature_108,0.002725556289609725
feature_110,0.002696552402863091
feature_141,0.0025981692827019395
feature_158,0.0025808032542671442
feature_146,0.0025386104375571578
feature_83,0.002535505855866865
feature_151,0.0024130056840938846
feature_25,0.0023842001605700125
feature_96,0.002371930952152977
feature_107,0.0022678712661171867
feature_95,0.002258127144915018
feature_144,0.0022194695408570093
feature_98,0.002113297540937851
feature_7,0.0019997216446323613
feature_29,0.0019679749530322455
feature_163,0.0019483765594829037
feature_87,0.0019134332684940926
feature_63,0.0019097208708458923
feature_93,0.0017627347196363045
feature_115,0.0017414091865578995
feature_74,0.00168381347251384
feature_152,0.0016204597195798843
feature_13,0.0015235430827712896
feature_72,0.0015076932751232246
feature_116,0.00147789696457969
feature_73,0.001392936242450685
feature_14,0.001370511045057464
feature_64,0.001330523740238261
feature_94,0.001312336764618606
feature_149,0.0013044300771937012
feature_160,0.0012377933661730245
feature_142,0.0012082794842162778
feature_120,0.0011558110452255228
feature_31,0.0011184142293792737
feature_88,0.0010974203896800994
feature_153,0.001080342275607443
feature_147,0.001052597072704682
feature_122,0.001022652747321816
feature_135,0.00100543768541358
feature_113,0.0009922298794870046
feature_106,0.0009626504031209419
feature_34,0.000961789965056753
feature_150,0.000961495980247745
feature_69,0.0009076547278774656
feature_127,0.0008789148326424889
feature_57,0.0008202814553072232
feature_105,0.000779299910810985
feature_27,0.0007641303689416432
feature_75,0.0007599046216114056
feature_114,0.0007586664015895448
feature_51,0.000737491734300601
feature_28,0.0007357307542503469
feature_154,0.0007285331459014075
feature_35,0.0007196133911516299
feature_100,0.0006899960404873787
feature_99,0.0006643028391825486
feature_111,0.0006468683913670701
feature_121,0.0006373498761899949
feature_70,0.0006363230191193305
feature_123,0.0006357396356592316
feature_112,0.000634324003905523
feature_58,0.0006313937663036922
feature_130,0.0006304288902068637
feature_21,0.000626176716346106
feature_117,0.0005996797424381704
feature_129,0.0005869857260357504
feature_33,0.0005836337594587115
feature_76,0.0005793992775016125
feature_52,0.0005682397641135839
feature_45,0.0005680761434689898
feature_118,0.0005640407127070287
feature_46,0.0005556291515854764
feature_148,0.0005490046448046722
feature_136,0.0005286913514987029
feature_38,0.0004728588225568779
feature_124,0.00046150718876256254
feature_36,0.000349496313833517
feature_22,0.0003258059807102444
feature_119,0.0003081561235544329
feature_37,0.00016378409850450925
feature_71,0.00014910206941294343
feature_40,7.56201478131136e-05
feature_39,6.784768509589267e-05
feature_8,5.122596542587894e-05
feature_16,0.0
