Model,Poison Rate,Recall Drop,F1 Drop,PR-AUC Drop,Average Damage
Random Forest,0.05,-0.0011001100110009654,0.007746592102420458,0.004190793673899851,0.0036124252551064475
Random Forest,0.1,0.002200220022002264,0.013148791529426052,0.009941735376315486,0.0084302489759146
Random Forest,0.15,-0.0033003300330032292,0.035116650127449356,0.0180921776641787,0.016636165919541607
Random Forest,0.2,0.008800880088008944,0.0564795564795566,0.02831429311580158,0.03119824322778904
Random Forest,0.25,-0.0011001100110009654,0.1147537522722526,0.03172720150942132,0.04846028125689098
AdaBoost,0.05,0.0066006600660065695,-0.008333340449277915,0.01692457030573824,0.005063963307488965
AdaBoost,0.1,0.0,-0.0077957927883005596,0.03075863129226275,0.0076542795013207305
AdaBoost,0.15,0.0066006600660065695,0.010135180162469393,0.05922356332974632,0.025319801186074093
AdaBoost,0.2,0.0,0.00574183391222971,0.0517232272491025,0.019155020387110738
AdaBoost,0.25,0.007700770077007646,-0.001091191593080354,0.06623983337221251,0.024283137285379935
XGBoost,0.05,0.004400440044004417,0.06699223917453034,0.014715690805078174,0.028702790007870977
XGBoost,0.1,0.005500550055005493,0.1323263626523985,0.024964543422602903,0.0542638187100023
XGBoost,0.15,0.0033003300330033403,0.1938970449840015,0.028517249240835763,0.07523820808594688
XGBoost,0.2,0.01320132013201325,0.3081314335422136,0.04744330754866943,0.12292535374096543
XGBoost,0.25,-0.002200220022002153,0.3777782086900111,0.04821749749975368,0.14126516205592088
